,date,service,food_quality,environment,experience,menu_options,reccomend,price_point,comments
0,06_19_2021,5,4,5,5,5,y,Price was not marked on ticket,Thank you!
1,06_19_2021,5,5,5,5,4,y,Price was not marked on ticket,Alicia was excellent!
2,06_19_2021,4,5,5,5,5,y,Ticket Matched Expected Price,Our waitress was amazing (Alicia)
3,06_19_2021,5,5,5,5,5,y,Price was not marked on ticket,Our waitress was great but we sat by the pool table VERY Noisy!!!
4,06_19_2021,5,5,5,5,3,y,Ticket Matched Expected Price,   The bar took forever!
5,06_19_2021,4,4,4,1,2,y,Price was not marked on ticket,   The trout was fantastic!
6,06_19_2021,4,3,1,4,4,n,Price was not marked on ticket,   The eggplant was not good.
7,06_19_2021,5,4,4,5,5,y,Ticket Matched Expected Price,   The salad needed more dressing.
8,06_19_2021,5,5,5,5,5,y,Price was not marked on ticket,"Just didn't care for spices, not your fault!"
9,06_19_2021,5,4,5,5,5,y,Price was not marked on ticket,Fries could be a little more cooked and crispy. A little soggy
10,06_19_2021,5,5,5,5,4,y,Price was not marked on ticket,"The bun seemed dry and I didn't realize the the smashies were extra, but they were good."
11,06_19_2021,5,5,5,5,5,y,Ticket Matched Expected Price,Amazing food & environment 10/10 recommendation
12,06_19_2021,5,5,5,5,4,y,Ticket Matched Expected Price,Very fast service!
13,06_19_2021,5,5,5,5,5,y,Ticket Matched Expected Price,"Brussel sprouts cooked more, Tuscan flat bread was not good for us, taste was off."
14,06_19_2021,5,5,5,5,5,y,Ticket Matched Expected Price,"Drinks were a little strong, but good flavor."
15,06_19_2021,5,5,5,4,4,y,Ticket Matched Expected Price,"Wonderful environment to spend the evening at. Very nice evening, great staff, friendly efficient. Meals wonderful"
16,06_19_2021,5,4,5,5,3,y,Ticket price was more than expected,
17,06_19_2021,5,5,5,4,3,y,Ticket Matched Expected Price,
18,06_19_2021,5,3,5,5,4,y,Ticket Matched Expected Price,
19,06_19_2021,5,5,5,,,y,Ticket Matched Expected Price,
