,date,service,food_quality,environment,experience,menu_options,reccomend,price_point,comments
0,06_18_2021,5,5,5,5,5,y,Price was not marked on ticket,"Our server, Alicia, was attentive, knowledgeable and amazinh"
1,06_18_2021,5,4,4,4,3,y,Ticket Matched Expected Price,Be clear about gluten free on the menu. Keep a separate gluten free fryer
2,06_18_2021,5,5,5,5,5,y,Ticket Matched Expected Price,Great service and food!
3,06_18_2021,5,5,5,5,4,y,Price was not marked on ticket,Our waiter was delightful! (Mike)
4,06_18_2021,5,5,5,5,5,y,Price was not marked on ticket,$19 for 4 bites of pulled pork is outrageous
5,06_18_2021,5,5,5,5,5,y,Price was not marked on ticket,"You're great; just the bread was a little hard, in the hamburger, seasoning could be slightly less salty"
6,06_18_2021,5,5,5,5,5,y,Ticket price was lower than expected,Smaller croutons & butter / focaccia bread
7,06_18_2021,5,2,3,2,3,n,Ticket price was more than expected,The more local the better. Can't wait for the bakery!
8,06_18_2021,4,4,4,4,5,y,Price was not marked on ticket,Price
9,06_18_2021,5,4,5,3,4,y,Price was not marked on ticket,Alyssa was awesome! She was so nice.  She was cut too? From Turman
10,06_18_2021,5,5,5,5,4,y,Ticket Matched Expected Price,Absolutely wonderful! We will be back
11,06_18_2021,4,5,5,5,4,y,Ticket Matched Expected Price,
12,06_18_2021,4,4,5,4,4,y,Price was not marked on ticket,
13,06_18_2021,4,4,5,5,5,y,Ticket Matched Expected Price,
14,06_18_2021,5,5,5,5,2,y,Price was not marked on ticket,
15,06_18_2021,5,5,4,5,3,y,Ticket Matched Expected Price,
16,06_18_2021,5,5,5,5,4,y,Ticket Matched Expected Price,
17,06_18_2021,4,3,5,4,3,y,Ticket price was more than expected,
18,06_18_2021,5,5,5,5,5,y,Price was not marked on ticket,
19,06_18_2021,5,4,5,5,5,y,Ticket Matched Expected Price,
20,06_18_2021,5,5,,5,5,y,Ticket Matched Expected Price,
21,06_18_2021,5,5,,5,5,,Price was not marked on ticket,
