,service,food_quality,environment,experience,menu_options,reccomendation_to_fam_and_friends,price,comments
0,5,4,5,5,4,y,Price was not marked on ticket,We'll be back !!
1,5,5,5,5,5,y,Price was not marked on ticket,We'll will see you again 
2,5,5,5,5,5,y,Ticket Matched Expected Price,Thank you Michael !!
3,4,4,4,4,4,y,Ticket Matched Expected Price,More gluten free/vegan options
4,5,5,5,5,5,y,Ticket Matched Expected Price,   Be more cognisant of clearing plates
5,4,5,5,5,4,y,Ticket Matched Expected Price,   Appetizer steak still sitting on table
6,5,5,5,5,5,y,Ticket Matched Expected Price,   Replace silverware instead of asking guest to keep it
7,4,5,5,4,5,y,Ticket Matched Expected Price,   Return to table after entrée to check on food quality
