,date,service,food_quality,environment,experience,menu_options,reccomend,price_point,comments
0,06_20_2021,5,5,5,5,5,y,Ticket Matched Expected Price,Rose is awesome!
1,06_20_2021,5,5,5,5,5,y,Price was not marked on ticket,Kids meal options? Brunch
2,06_20_2021,5,4,5,4,3,y,Price was not marked on ticket,Waitress did great. Lack of preferred food item (elk burger) was a disappointment
3,06_20_2021,5,2,4,3,5,,Ticket Matched Expected Price,Food was bland - eggs
4,06_20_2021,5,5,5,5,,,Price was not marked on ticket,Lisa is the best bartender we've ever had!
