comments,,,,,,,,,,,,,
Rose is awesome!,,,,,,,,,,,,,
Kids meal options? Brunch,,,,,,,,,,,,,
Waitress did great. Lack of preferred food item (elk burger) was a disappointment,,,,,,,,,,,,,
Food was bland - eggs,,,,,,,,,,,,,
Lisa is the best bartender we've ever had!,,,,,,,,,,,,,
