comments
We'll be back !!
We'll will see you again 
Thank you Michael !!
More gluten free/vegan options
   Be more cognisant of clearing plates
   Appetizer steak still sitting on table
   Replace silverware instead of asking guest to keep it
   Return to table after entrée to check on food quality
   Present check sooner
   All that being said: This was our BEST meal to date! Stan
Flouride fee water!
Thank you 
